id,region,municipality,settlement,type,latitude_dd,longitude_dd
0,Республика Алтай,Шебалинский район,Каспа,с,5111,8601
1,Алтайский край,Смоленский,Молочный,п,5241,8497
2,Красноярский край,Казачинский район,Отношка,с,5738,9270
3,Республика Тыва,Каа-Хемский кожуун,Кундустуг,с,5157,9518
4,Красноярский край,Курагинский район,Щетинкино,с,5453,9344
5,Иркутская область,Тайшетский район,Кондратьево,с,5735,9818
6,Алтайский край,Каменский,Корнилово,с,5351,8107
7,Красноярский край,Большемуртинский район,Язаевка,п,5732,9329
8,Алтайский край,Залесовский,Думчево,с,5395,8428
9,Иркутская область,Черемховский район,Верхний Булай,с,5303,10303
10,Омская область,Полтавский район,Вольное,с,5428,7135
11,Кемеровская область,Прокопьевский,Школьный,п,5400,8682
12,Новосибирская область,Болотнинский район,Большая Черная,д,5596,8443
13,Красноярский край,Сухобузимский район,Кононово,п,5650,9371
14,Иркутская область,Качугский район,Залог,с,5393,10638
15,Алтайский край,Смоленский,Первомайское,с,5228,8521
16,Омская область,Любинский район,Казанка,с,5526,7275
17,Кемеровская область,Кемеровский,Смолино,д,5517,8634
18,Алтайский край,Ключевский,Северка,с,5213,7926
19,Новосибирская область,Усть-Таркский район,Тарка,с,5560,7563
20,Томская область,Зырянский район,Красноярка,с,5681,8683
21,Красноярский край,Таймырский Долгано-Ненецкий район,Хантайское Озеро,п,6821,8998
22,Алтайский край,Угловский,Павловка,с,5139,7979
23,Республика Тыва,Улуг-Хемский кожуун,Чодураа,с,5137,9288
24,Иркутская область,Боханский район,Харатирген,д,5315,10387
25,Кемеровская область,Яшкинский район,Колмогорово,с,5563,8566
26,Красноярский край,Ужурский район,Златоруновск,п,5513,8980
27,Красноярский край,Енисейский район,Безымянка,д,5930,8900
28,Республика Тыва,Кызылский кожуун,Черби,с,5188,9458
29,Новосибирская область,Болотнинский район,Кругликово,д,5583,8385
30,Республика Алтай,Чойский район,Ынырга,с,5182,8678
31,Томская область,Асиновский район,Батурино,с,5775,8517
32,Красноярский край,Уярский район,Восточное,с,5562,9448
33,Иркутская область,Куйтунский район,Харик,с,5417,10161
34,Омская область,Знаменский район,Копейкино,д,5698,7412
35,Красноярский край,Ирбейский район,Мельничное,с,5560,9559
36,Иркутская область,Заларинский район,Корсунгай,д,5372,10247
37,Иркутская область,Куйтунский район,Станица 3-я,д,5421,10134
38,Новосибирская область,Усть-Таркский район,Новоникольск,с,5571,7598
39,Новосибирская область,Тогучинский район,Шубкино,с,5507,8423
40,Республика Хакасия,Алтайский район,Белый Яр,с,5359,9138
41,Омская область,Исилькульский район,Пучково,д,5493,7150
42,Омская область,Колосовский район,Колосовка,с,5646,7359
43,Новосибирская область,Кочковский район,Троицкий,п,5400,7992
44,Томская область,Шегарский район,Татьяновка,д,5682,8355
45,Республика Алтай,Онгудайский район,Улита,с,5071,8621
46,Кемеровская область,Яйский район,Судженка,с,5618,8625
47,Новосибирская область,Купинский район,Басково,д,5446,7765
48,Красноярский край,Северо-Енисейский район,Вангаш,п,5997,9361
49,Алтайский край,Родинский,Родино,с,5249,8020
50,Алтайский край,Красногорский,Горный,п,5216,8606
51,Красноярский край,Саянский район,Орловка,д,5522,9463
52,Алтайский край,Целинный,Сверчково,с,5277,8536
53,Красноярский край,Новосёловский район,Куллог,д,5481,9118
54,Алтайский край,Третьяковский,Первомайский,п,5087,8192
55,Республика Хакасия,Аскизский район,Аскиз,с,5313,9053
56,Новосибирская область,Татарск,Татарск,г,5521,7597
57,Кемеровская область,Тяжинский район,Новоподзорново,с,5585,8908
